show_flag,page,title,type,organization,venue,start_date,end_date,notes,url,url_2,,,
FALSE,Writing,Advice for reporting data-driven LGBTQ+ stories,Best Practices,International Journalists' Network,,2024,,Republication.,https://ijnet.org/en/story/advice-reporting-data-driven-lgbtq-stories,https://ijnet.org/zh-hans/story/%E6%8A%A5%E9%81%93-lgbtq-%E7%9B%B8%E5%85%B3%E6%95%B0%E6%8D%AE%E6%95%85%E4%BA%8B%E7%9A%84%E9%87%8D%E7%82%B9%E5%BB%BA%E8%AE%AE,https://www.newslabturkey.org/2024/07/04/lgbtq-hikayelerinde-veri-odakli-raporlama-icin-oneriler/,https://ijnet.org/pt-br/story/conselhos-para-fazer-pautas-lgbtq-baseadas-em-dados,https://ijnet.org/fa/story/%D8%AA%D9%88%D8%B5%DB%8C%D9%87%E2%80%8C%D9%87%D8%A7%DB%8C%DB%8C-%D8%A8%D8%B1%D8%A7%DB%8C-%D8%AA%D9%87%DB%8C%D9%87-%DA%AF%D8%B2%D8%A7%D8%B1%D8%B4-%E2%80%8C%D8%AF%D8%A7%D8%AF%D9%87%E2%80%8C%D9%85%D8%AD%D9%88%D8%B1-%D8%A7%D8%B2-%D8%AC%D8%A7%D9%85%D8%B9%D9%87-%D8%A7%D9%84%E2%80%8C%D8%AC%DB%8C%E2%80%8C%D8%A8%DB%8C%E2%80%8C%D8%AA%DB%8C%E2%80%8C%DA%A9%DB%8C%D9%88%D9%BE%D9%84%D8%A7%D8%B3
TRUE,Writing,A Guide to the Guides: What to Know About LGBTQ Style Guides for Journalists,Guide,Education Writers Association,,2024,,,https://ewa.org/data-research-tips/a-guide-to-the-guides-what-to-know-about-lgbtq-style-guides-for-journalists,,,,
TRUE,Writing,Resources for covering violence against trans and nonbinary people,Best Practices,Trans Journalists Association,,2024,,,https://www.transjournalists.org/resources-for-covering-violence-against-trans-and-nonbinary-people/,,,,
TRUE,Writing,How to tell good LGBTQ+ stories with bad data,Best Practices,Source,,2024,,"This two-part series on LGBTQ+ data was republished by the International Journalists' Network and translated into Spanish, Portuguese, Turkish, and Chinese, as well as referenced by publications around the world.",https://source.opennews.org/articles/how-tell-good-lgbtq-stories-bad-data/,,,,
TRUE,Writing,7 tips for data-driven journalism about LGBTQ+ communities,Best Practices,Source,,2024,,"This two-part series on LGBTQ+ data was republished by the International Journalists' Network and translated into Spanish, Portuguese, Turkish, and Chinese, as well as referenced by publications around the world.",https://source.opennews.org/articles/7-tips-data-driven-journalism-lgbtq-communities/,,,,
TRUE,Writing,Data Crimes of 2023: The worst things we did to process education data this year,Documentation,Chalkbeat,,2023,,,https://dataviz.chalkbeat.org/2023/12/19/data-crimes-2023.html,,,,
TRUE,Writing,Tips for navigating uncertain gender identity during breaking news,Best Practices,Trans Journalists Association,,2023,,One of several co-authors on organizational guidance.,https://www.transjournalists.org/article-self-identification-explainer/,,,,
TRUE,Writing,Covering trans issues well just means doing journalism well,Best Practices,Source,,2023,,,https://source.opennews.org/articles/covering-trans-issues-well-doing-journalism-well/,,,,
TRUE,Writing,Showing what's not there: How to responsibly visualize flawed data — and when to not,Best Practices,Chalkbeat,,2023,,,https://dataviz.chalkbeat.org/2023/09/26/bad-data-viz-solutions.html,,,,
TRUE,Writing,Stylebook and Coverage Guide,Guide,Trans Journalists Association,,2023,,"Served as project manager and co-author on style guide update that incorporated the expertise of 20+ trans journalists, building on the work previously done in 2020.",https://transjournalists.org/style-guide/,,,,
